День,Час,Завдання,Лінк,Тип (колір у Notion),Статус (чекбокс),Примітка,Мета дня
День 1,10:00–10:30,Встановити Python 3.11+ та VS Code,https://www.python.org/downloads/,Теорія (синій),,,"Встановити інструменти, розібратися з базовим синтаксисом і типами"
День 1,10:30–11:00,Налаштувати розширення Python у VS Code,https://marketplace.visualstudio.com/items?itemName=ms-python.python,Практика (зелений),,,"Встановити інструменти, розібратися з базовим синтаксисом і типами"
День 1,11:00–12:00,"Основи Python: змінні, типи, введення/виведення",https://www.learnpython.org/,Теорія (синій),,,"Встановити інструменти, розібратися з базовим синтаксисом і типами"
День 1,12:00–13:00,Відео: CS50 Python — вступ (0:00–26:30),https://www.youtube.com/watch?v=nLRL_NcnK-4,Теорія (синій),,Зроби нотатки у Notion,"Встановити інструменти, розібратися з базовим синтаксисом і типами"
День 1,13:00–14:00,"Практика: Hello, World; калькулятор; конвертер одиниць",https://www.w3resource.com/python-exercises/,Практика (зелений),,,"Встановити інструменти, розібратися з базовим синтаксисом і типами"
День 1,14:00–15:00,"Контрольні вправи: типи, оператори, ввід користувача",https://pynative.com/python-exercises-with-solutions/,Практика (зелений),,,"Встановити інструменти, розібратися з базовим синтаксисом і типами"
День 2,10:00–10:30,if/elif/else та логічні оператори,https://www.w3schools.com/python/python_conditions.asp,Теорія (синій),,,"Навчитись умовам і циклам, писати прості програми з логікою"
День 2,10:30–11:30,"Цикли while і for, range()",https://www.learnpython.org/en/Loops,Теорія (синій),,,"Навчитись умовам і циклам, писати прості програми з логікою"
День 2,11:30–12:30,"Вправи: калькулятор у циклі, перевірка парності, FizzBuzz",https://www.w3resource.com/python-exercises/python-conditional-statements-and-loop-exercises.php,Практика (зелений),,,"Навчитись умовам і циклам, писати прості програми з логікою"
День 2,12:30–13:30,Відео: CS50 Python — логіка та цикли (26:30–56:00),https://www.youtube.com/watch?v=nLRL_NcnK-4,Теорія (синій),,,"Навчитись умовам і циклам, писати прості програми з логікою"
День 2,13:30–14:30,"Міні-задачі: таблиця множення, підрахунок сум/середнього зі списку",https://pynative.com/python-basic-exercise-for-beginners/,Практика (зелений),,,"Навчитись умовам і циклам, писати прості програми з логікою"
День 2,14:30–15:00,"Рефлексія дня: виписати 5 речей, які вдалося/важко дались",,Практика (зелений),,,"Навчитись умовам і циклам, писати прості програми з логікою"
День 3,10:00–10:40,"List: створення, індексація, зрізи",https://www.w3schools.com/python/python_lists.asp,Теорія (синій),,,"Опанувати списки та словники, вміти ітеруватись і шукати дані"
День 3,10:40–11:20,"Dict: ключі/значення, ітерація, методи",https://www.w3schools.com/python/python_dictionaries.asp,Теорія (синій),,,"Опанувати списки та словники, вміти ітеруватись і шукати дані"
День 3,11:20–12:30,"Практика: список покупок (CRUD), сортування/фільтрація",https://www.w3resource.com/python-exercises/list/,Практика (зелений),,,"Опанувати списки та словники, вміти ітеруватись і шукати дані"
День 3,12:30–13:15,Практика: телефонна книга на dict,https://www.w3resource.com/python-exercises/dictionary/,Практика (зелений),,Передбач збереження у файл на День 5,"Опанувати списки та словники, вміти ітеруватись і шукати дані"
День 3,13:15–14:00,Відео: Lists & Dicts (Tech With Tim),https://www.youtube.com/watch?v=9OXKqfzq3jY,Теорія (синій),,,"Опанувати списки та словники, вміти ітеруватись і шукати дані"
День 3,14:00–15:00,Міні-ченджлог: що додати в телефонну книгу завтра?,,Практика (зелений),,,"Опанувати списки та словники, вміти ітеруватись і шукати дані"
День 4,10:00–10:45,"Функції: def, аргументи, return, scope",https://www.w3schools.com/python/python_functions.asp,Теорія (синій),,,Навчитись писати та тестувати функції; зрозуміти lambda
День 4,10:45–11:20,"Lambda, map/filter, list comprehensions",https://realpython.com/lessons/python-lambda/,Теорія (синій),,,Навчитись писати та тестувати функції; зрозуміти lambda
День 4,11:20–12:20,"Практика: факторіал, паліндром, Fibonacci",https://pynative.com/python-functions-exercise-with-solutions/,Практика (зелений),,,Навчитись писати та тестувати функції; зрозуміти lambda
День 4,12:20–13:10,Юніт-тести базово (pytest) для однієї функції,https://docs.pytest.org/en/stable/getting-started.html,Практика (зелений),,У VS Code додай тестовий запуск,Навчитись писати та тестувати функції; зрозуміти lambda
День 4,13:10–13:50,Відео: Functions (Corey Schafer),https://www.youtube.com/watch?v=9Os0o3wzS_I,Теорія (синій),,,Навчитись писати та тестувати функції; зрозуміти lambda
День 4,13:50–15:00,Рефакторинг завдань Дня 3 під функції + тести,,Практика (зелений),,,Навчитись писати та тестувати функції; зрозуміти lambda
День 5,10:00–10:40,"Ввід/вивід файлів: open/read/write, контекстний менеджер",https://www.w3schools.com/python/python_file_handling.asp,Теорія (синій),,,Уміти читати/писати файли та обробляти текстові дані
День 5,10:40–11:30,"Обробка тексту: split, strip, count, encoding",https://realpython.com/read-write-files-python/,Теорія (синій),,,Уміти читати/писати файли та обробляти текстові дані
День 5,11:30–12:30,Практика: To-Do у файлі; лічильник слів,https://www.practicepython.org/exercise/2014/12/06/22-read-from-file.html,Практика (зелений),,,Уміти читати/писати файли та обробляти текстові дані
День 5,12:30–13:10,Інтеграція: телефонна книга з Дня 3 + збереження в JSON,https://docs.python.org/3/library/json.html,Практика (зелений),,,Уміти читати/писати файли та обробляти текстові дані
День 5,13:10–13:50,Відео: Files (Corey Schafer),https://www.youtube.com/watch?v=Uh2ebFW8OYM,Теорія (синій),,,Уміти читати/писати файли та обробляти текстові дані
День 5,13:50–15:00,"Контрольний чек-лист: винести шляхи у config, обробка помилок",,Практика (зелений),,,Уміти читати/писати файли та обробляти текстові дані
День 6,10:00–10:30,"Модулі та пакети: import, from, __name__",https://www.w3schools.com/python/python_modules.asp,Теорія (синій),,,Зрозуміти імпорти та базові бібліотеки; навчитися читати документацію
День 6,10:30–11:10,"Стандартні модулі: time, datetime, os, pathlib",https://docs.python.org/3/library/,Теорія (синій),,,Зрозуміти імпорти та базові бібліотеки; навчитися читати документацію
День 6,11:10–12:00,"Практика: генератор випадкових паролів (random, string)",https://docs.python.org/3/library/random.html,Практика (зелений),,,Зрозуміти імпорти та базові бібліотеки; навчитися читати документацію
День 6,12:00–12:45,"Практика: калькулятор дат (datetime, timedelta)",https://docs.python.org/3/library/datetime.html,Практика (зелений),,,Зрозуміти імпорти та базові бібліотеки; навчитися читати документацію
День 6,12:45–13:30,Відео: Modules (Corey Schafer),https://www.youtube.com/watch?v=CqvZ3vGoGs0,Теорія (синій),,,Зрозуміти імпорти та базові бібліотеки; навчитися читати документацію
День 6,13:30–15:00,Кураторіум: вибери 3 модулі та розбери приклади з документації,https://docs.python.org/3/library/,Практика (зелений),,,Зрозуміти імпорти та базові бібліотеки; навчитися читати документацію
День 7,10:00–10:20,Вибір проєкту: Конвертер валют / Вгадай число / To-Do з файлами,,Проєкт (жовтий),,,Зібрати все в одному міні-проєкті й оформити GitHub-репозиторій
День 7,10:20–12:00,"Реалізація логіки (функції, цикли, обробка помилок)",,Проєкт (жовтий),,,Зібрати все в одному міні-проєкті й оформити GitHub-репозиторій
День 7,12:00–12:40,"Збереження даних у файл (txt/json), читання/оновлення",https://docs.python.org/3/library/json.html,Проєкт (жовтий),,,Зібрати все в одному міні-проєкті й оформити GitHub-репозиторій
День 7,12:40–13:20,Тести (pytest) на ключові функції,https://docs.pytest.org/en/stable/getting-started.html,Проєкт (жовтий),,,Зібрати все в одному міні-проєкті й оформити GitHub-репозиторій
День 7,13:20–14:10,Створити README.md з інструкцією запуску,https://www.makeareadme.com/,Проєкт (жовтий),,,Зібрати все в одному міні-проєкті й оформити GitHub-репозиторій
День 7,14:10–15:00,"Залити на GitHub (створити репо, коміти, пуш)",https://docs.github.com/en/get-started/start-your-journey/hello-world,Проєкт (жовтий),,Додай скріншоти запуску,Зібрати все в одному міні-проєкті й оформити GitHub-репозиторій
